feature,importance
amt,0.18082312
category_gas_transport,0.122735605
category_grocery_net,0.070766896
category_food_dining,0.05956594
transaction_hour,0.057259865
amount_ratio,0.05154223
category_entertainment,0.050034914
category_home,0.04879078
category_shopping_net,0.039356276
category_grocery_pos,0.03893813
category_shopping_pos,0.036564276
category_travel,0.032409877
customer_avg_amount,0.02494669
category_personal_care,0.022785082
category_misc_pos,0.022784967
category_misc_net,0.021556605
category_kids_pets,0.021519296
time_since_last_txn,0.018185444
is_night,0.01784139
age,0.0104533015
category_health_fitness,0.008562519
customer_txn_count,0.008385693
has_customer_history,0.007411188
city_pop,0.0063222894
gender_F,0.0055922996
gender_M,0.0045864456
day_of_week,0.0041468022
distance_km,0.0035801842
is_weekend,0.0025519417
