feature,shap_value,abs_shap
amt,-3.4328153,3.4328153
category_grocery_net,-1.1364623,1.1364623
city_pop,-0.65188926,0.65188926
category_shopping_net,-0.54906565,0.54906565
category_gas_transport,-0.4633822,0.4633822
category_travel,-0.42030948,0.42030948
category_misc_net,-0.37267193,0.37267193
category_shopping_pos,-0.24210937,0.24210937
category_home,-0.15484205,0.15484205
category_kids_pets,-0.15191028,0.15191028
has_customer_history,-0.1432148,0.1432148
time_since_last_txn,-0.1111678,0.1111678
category_grocery_pos,-0.10376799,0.10376799
day_of_week,-0.07781467,0.07781467
gender_M,0.073025204,0.073025204
category_health_fitness,-0.07105273,0.07105273
amount_ratio,-0.06975268,0.06975268
category_food_dining,-0.062014095,0.062014095
gender_F,0.0541521,0.0541521
category_entertainment,0.052622348,0.052622348
customer_txn_count,0.036896124,0.036896124
age,0.03456159,0.03456159
category_personal_care,0.02156352,0.02156352
is_weekend,0.017248241,0.017248241
category_misc_pos,-0.016326874,0.016326874
is_night,0.010650095,0.010650095
transaction_hour,0.007980175,0.007980175
distance_km,-0.0013558889,0.0013558889
customer_avg_amount,-0.00023722395,0.00023722395
