feature,importance
amt,2.9126227
category_grocery_net,1.0124807
category_shopping_net,0.680097
category_shopping_pos,0.44249132
category_travel,0.42667446
category_entertainment,0.28116456
gender_M,0.23567593
category_misc_net,0.23303352
category_gas_transport,0.21566202
category_grocery_pos,0.21214321
gender_F,0.16537236
category_misc_pos,0.16263786
age,0.15923628
category_personal_care,0.12947905
time_since_last_txn,0.11991901
amount_ratio,0.10974087
customer_txn_count,0.09437639
category_food_dining,0.09368687
has_customer_history,0.07915388
category_kids_pets,0.07503597
day_of_week,0.06305797
category_home,0.060997114
category_health_fitness,0.054110505
city_pop,0.049905214
is_night,0.04638379
distance_km,0.01994639
is_weekend,0.013500618
transaction_hour,0.0073297457
customer_avg_amount,0.0004925471
